Month,Mdate,Time,Hourly_Counts
April,26,18,2288.0
April,26,19,1425.0
April,26,20,1031.0
April,26,21,639.0
April,26,22,330.0
April,26,23,148.0
April,27,0,86.0
April,27,1,46.0
April,27,2,37.0
April,27,3,30.0
April,27,4,26.0
April,27,5,34.0
April,27,6,126.0
April,27,7,327.0
April,27,8,904.0
April,27,9,1050.0
April,27,10,1564.0
April,27,11,2142.0
April,27,12,3385.0
April,27,13,3584.0
April,27,14,3100.0
April,27,15,2946.0
April,27,16,3150.0
April,27,17,3554.0
April,27,18,2995.0
April,27,19,2166.0
April,27,20,1634.0
April,27,21,999.0
April,27,22,636.0
April,27,23,346.0
April,28,0,199.0
April,28,1,128.0
April,28,2,94.0
April,28,3,69.0
April,28,4,38.0
April,28,5,28.0
April,28,6,96.0
April,28,7,200.0
April,28,8,636.0
April,28,9,926.0
April,28,10,1502.0
April,28,11,2359.0
April,28,12,3356.0
April,28,13,3697.0
April,28,14,3477.0
April,28,15,3558.0
April,28,16,3638.0
April,28,17,3894.0
April,28,18,3230.0
April,28,19,2286.0
April,28,20,1672.0
April,28,21,1046.0
April,28,22,638.0
April,28,23,434.0
April,29,0,322.0
April,29,1,160.0
April,29,2,95.0
April,29,3,86.0
April,29,4,60.0
April,29,5,55.0
April,29,6,49.0
April,29,7,91.0
April,29,8,280.0
April,29,9,704.0
April,29,10,1422.0
April,29,11,2240.0
April,29,12,2888.0
April,29,13,3292.0
April,29,14,3507.0
April,29,15,3494.0
April,29,16,3540.0
April,29,17,3090.0
April,29,18,2322.0
April,29,19,1550.0
April,29,20,848.0
April,29,21,534.0
April,29,22,449.0
April,29,23,288.0
April,30,0,146.0
April,30,1,135.0
April,30,2,84.0
April,30,3,78.0
April,30,4,45.0
April,30,5,42.0
April,30,6,94.0
April,30,7,226.0
April,30,8,573.0
April,30,9,789.0
April,30,10,1404.0
April,30,11,2019.0
April,30,12,2931.0
April,30,13,3332.0
April,30,14,3115.0
April,30,15,2994.0
April,30,16,3090.0
April,30,17,2836.0
April,30,18,2130.0
April,30,19,1254.0
April,30,20,698.0
April,30,21,450.0
April,30,22,288.0
April,30,23,156.0
June,1,0,50.0
June,1,1,28.0
June,1,2,27.0
June,1,3,39.0
June,1,4,26.0
June,1,5,20.0
June,1,6,108.0
June,1,7,328.0
June,1,8,811.0
June,1,9,978.0
June,1,10,1444.0
June,1,11,1908.0
June,1,12,3354.0
June,1,13,3678.0
June,1,14,2921.0
June,1,15,2904.0
June,1,16,3098.0
June,1,17,3852.0
June,1,18,3038.0
June,1,19,2229.0
June,1,20,1636.0
June,1,21,949.0
June,1,22,612.0
June,1,23,274.0
June,2,0,170.0
June,2,1,90.0
June,2,2,70.0
June,2,3,63.0
June,2,4,34.0
June,2,5,18.0
June,2,6,70.0
June,2,7,198.0
June,2,8,570.0
