Month,Mdate,Time,hourly_counts
April,22,10,1162.0
April,22,11,1775.0
April,22,12,2555.0
April,22,13,2913.0
April,22,14,2985.0
April,22,15,3046.0
April,22,16,2906.0
April,22,17,2712.0
April,22,18,2110.0
April,22,19,2196.0
April,22,20,1841.0
April,22,21,1229.0
April,22,22,954.0
April,22,23,585.0
April,23,0,425.0
April,23,1,333.0
April,23,2,469.0
April,23,3,546.0
April,23,4,451.0
April,23,5,480.0
April,23,6,268.0
April,23,7,513.0
April,23,8,1137.0
April,23,9,1314.0
April,23,10,1976.0
April,23,11,2351.0
April,23,12,3566.0
April,23,13,3598.0
April,23,14,2940.0
April,23,15,3036.0
April,23,16,2939.0
April,23,17,3219.0
April,23,18,2446.0
April,23,19,1774.0
April,23,20,1294.0
April,23,21,964.0
April,23,22,611.0
April,23,23,283.0
April,24,0,135.0
April,24,1,69.0
April,24,2,28.0
April,24,3,18.0
April,24,4,46.0
April,24,5,82.0
April,24,6,198.0
April,24,7,534.0
April,24,8,1198.0
April,24,9,1218.0
April,24,10,1826.0
April,24,11,2475.0
April,24,12,3600.0
April,24,13,3846.0
April,24,14,3176.0
April,24,15,3161.0
April,24,16,3212.0
April,24,17,3484.0
April,24,18,2936.0
April,24,19,2116.0
April,24,20,1745.0
April,24,21,1421.0
April,24,22,1286.0
April,24,23,1041.0
April,25,0,750.0
April,25,1,478.0
April,25,2,188.0
April,25,3,198.0
April,25,4,131.0
April,25,5,218.0
April,25,6,468.0
April,25,7,1673.0
April,25,8,1309.0
April,25,9,1296.0
April,25,10,2181.0
April,25,11,2653.0
April,25,12,3566.0
April,25,13,3553.0
April,25,14,3633.0
April,25,15,3332.0
April,25,16,2986.0
April,25,17,2680.0
April,25,18,2536.0
April,25,19,1706.0
April,25,20,1285.0
April,25,21,1120.0
April,25,22,644.0
April,25,23,390.0
April,26,0,235.0
April,26,1,84.0
April,26,2,73.0
April,26,3,33.0
April,26,4,32.0
April,26,5,70.0
April,26,6,170.0
April,26,7,470.0
April,26,8,1205.0
April,26,9,1289.0
April,26,10,1875.0
April,26,11,2426.0
April,26,12,3224.0
April,26,13,3534.0
April,26,14,3216.0
April,26,15,3027.0
April,26,16,3189.0
April,26,17,3562.0
April,26,18,2733.0
April,26,19,1772.0
April,26,20,1494.0
April,26,21,1121.0
April,26,22,913.0
April,26,23,358.0
April,27,0,237.0
April,27,1,136.0
April,27,2,61.0
April,27,3,44.0
April,27,4,55.0
April,27,5,68.0
April,27,6,189.0
April,27,7,510.0
April,27,8,1219.0
April,27,9,1291.0
April,27,10,1863.0
April,27,11,2354.0
April,27,12,3642.0
