date_time,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,time,year
17/02/2019 23:00,Sunday,306,2566323,17,February,30,Lonsdale St (South),23,2019
17/02/2019 23:00,Sunday,35,2566324,17,February,33,Flinders St-Spring St (West),23,2019
17/02/2019 23:00,Sunday,28,2566325,17,February,34,Flinders St-Spark La,23,2019
17/02/2019 23:00,Sunday,29,2566326,17,February,39,Alfred Place,23,2019
17/02/2019 23:00,Sunday,55,2566327,17,February,37,Lygon St (East),23,2019
17/02/2019 23:00,Sunday,37,2566328,17,February,40,Lonsdale St-Spring St (West),23,2019
17/02/2019 23:00,Sunday,40,2566329,17,February,36,Queen St (West),23,2019
17/02/2019 23:00,Sunday,575,2566330,17,February,29,St Kilda Rd-Alexandra Gardens,23,2019
17/02/2019 23:00,Sunday,49,2566331,17,February,42,Grattan St-Swanston St (West),23,2019
17/02/2019 23:00,Sunday,10,2566332,17,February,43,Monash Rd-Swanston St (West),23,2019
17/02/2019 23:00,Sunday,14,2566333,17,February,44,Tin Alley-Swanston St (West),23,2019
17/02/2019 23:00,Sunday,470,2566334,17,February,35,Southbank,23,2019
17/02/2019 23:00,Sunday,10,2566335,17,February,46,Pelham St (S),23,2019
17/02/2019 23:00,Sunday,330,2566336,17,February,47,Melbourne Central-Elizabeth St (East),23,2019
17/02/2019 23:00,Sunday,54,2566337,17,February,48,QVM-Queen St (East),23,2019
17/02/2019 23:00,Sunday,64,2566338,17,February,49,QVM-Therry St (South),23,2019
17/02/2019 23:00,Sunday,69,2566339,17,February,50,Faraday St-Lygon St (West),23,2019
17/02/2019 23:00,Sunday,63,2566340,17,February,51,QVM-Franklin St (North),23,2019
17/02/2019 23:00,Sunday,212,2566341,17,February,52,Elizabeth St-Lonsdale St (South),23,2019
17/02/2019 23:00,Sunday,54,2566342,17,February,54,Lincoln-Swanston(West),23,2019
17/02/2019 23:00,Sunday,72,2566343,17,February,56,Lonsdale St - Elizabeth St (North),23,2019
17/02/2019 23:00,Sunday,132,2566344,17,February,57,Bourke St Bridge,23,2019
17/02/2019 23:00,Sunday,206,2566345,17,February,58,Bourke St - Spencer St (North),23,2019
17/02/2019 23:00,Sunday,210,2566346,17,February,59,Swanston St - RMIT Building 80,23,2019
18/02/2019 0:00,Monday,173,2566347,18,February,4,Town Hall (West),0,2019
18/02/2019 0:00,Monday,26,2566348,18,February,17,Collins Place (South),0,2019
18/02/2019 0:00,Monday,18,2566349,18,February,18,Collins Place (North),0,2019
18/02/2019 0:00,Monday,35,2566350,18,February,53,Collins St (North),0,2019
