hourly_counts,sensor_id,time,latitude,longitude
1908,47,15,-37.81160331,144.9622008
1833,47,16,-37.81160331,144.9622008
1731,47,17,-37.81160331,144.9622008
550,48,10,-37.80631581,144.958667
728,48,11,-37.80631581,144.958667
879,48,12,-37.80631581,144.958667
884,48,13,-37.80631581,144.958667
812,48,14,-37.80631581,144.958667
717,48,15,-37.80631581,144.958667
515,48,16,-37.80631581,144.958667
308,48,17,-37.80631581,144.958667
430,49,10,-37.80730067,144.9595606
583,49,11,-37.80730067,144.9595606
709,49,12,-37.80730067,144.9595606
710,49,13,-37.80730067,144.9595606
586,49,14,-37.80730067,144.9595606
443,49,15,-37.80730067,144.9595606
269,49,16,-37.80730067,144.9595606
177,49,17,-37.80730067,144.9595606
349,50,10,-37.79808191,144.9672101
460,50,11,-37.79808191,144.9672101
564,50,12,-37.79808191,144.9672101
601,50,13,-37.79808191,144.9672101
618,50,14,-37.79808191,144.9672101
639,50,15,-37.79808191,144.9672101
591,50,16,-37.79808191,144.9672101
569,50,17,-37.79808191,144.9672101
221,51,10,-37.80841814,144.9590632
272,51,11,-37.80841814,144.9590632
316,51,12,-37.80841814,144.9590632
343,51,13,-37.80841814,144.9590632
317,51,14,-37.80841814,144.9590632
271,51,15,-37.80841814,144.9590632
217,51,16,-37.80841814,144.9590632
178,51,17,-37.80841814,144.9590632
383,52,10,-37.81252157,144.9619401
491,52,11,-37.81252157,144.9619401
609,52,12,-37.81252157,144.9619401
724,52,13,-37.81252157,144.9619401
678,52,14,-37.81252157,144.9619401
657,52,15,-37.81252157,144.9619401
653,52,16,-37.81252157,144.9619401
667,52,17,-37.81252157,144.9619401
111,54,10,-37.804024,144.963084
119,54,11,-37.804024,144.963084
134,54,12,-37.804024,144.963084
160,54,13,-37.804024,144.963084
172,54,14,-37.804024,144.963084
157,54,15,-37.804024,144.963084
163,54,16,-37.804024,144.963084
179,54,17,-37.804024,144.963084
363,56,10,-37.81234775,144.9615331
465,56,11,-37.81234775,144.9615331
542,56,12,-37.81234775,144.9615331
622,56,13,-37.81234775,144.9615331
542,56,14,-37.81234775,144.9615331
517,56,15,-37.81234775,144.9615331
463,56,16,-37.81234775,144.9615331
490,56,17,-37.81234775,144.9615331
438,57,10,-37.8176735,144.950256
436,57,11,-37.8176735,144.950256
822,57,12,-37.8176735,144.950256
806,57,13,-37.8176735,144.950256
726,57,14,-37.8176735,144.950256
773,57,15,-37.8176735,144.950256
1024,57,16,-37.8176735,144.950256
1136,57,17,-37.8176735,144.950256
736,58,10,-37.81686074,144.95358080000003
803,58,11,-37.81686074,144.95358080000003
813,58,12,-37.81686074,144.95358080000003
791,58,13,-37.81686074,144.95358080000003
794,58,14,-37.81686074,144.95358080000003
806,58,15,-37.81686074,144.95358080000003
859,58,16,-37.81686074,144.95358080000003
842,58,17,-37.81686074,144.95358080000003
237,17,10,-37.81362542,144.97323590000002
288,17,11,-37.81362542,144.97323590000002
309,17,12,-37.81362542,144.97323590000002
303,17,13,-37.81362542,144.97323590000002
306,17,14,-37.81362542,144.97323590000002
327,17,15,-37.81362542,144.97323590000002
286,17,16,-37.81362542,144.97323590000002
319,17,17,-37.81362542,144.97323590000002
133,18,10,-37.81344861,144.9730535
149,18,11,-37.81344861,144.9730535
168,18,12,-37.81344861,144.9730535
171,18,13,-37.81344861,144.9730535
171,18,14,-37.81344861,144.9730535
168,18,15,-37.81344861,144.9730535
153,18,16,-37.81344861,144.9730535
156,18,17,-37.81344861,144.9730535
766,53,10,-37.8156419,144.965499
980,53,11,-37.8156419,144.965499
1175,53,12,-37.8156419,144.965499
1260,53,13,-37.8156419,144.965499
1291,53,14,-37.8156419,144.965499
1322,53,15,-37.8156419,144.965499
1159,53,16,-37.8156419,144.965499
884,53,17,-37.8156419,144.965499
1164,2,10,-37.81380667,144.96516719999997
1818,2,11,-37.81380667,144.96516719999997
2248,2,12,-37.81380667,144.96516719999997
2508,2,13,-37.81380667,144.96516719999997
2748,2,14,-37.81380667,144.96516719999997
2787,2,15,-37.81380667,144.96516719999997
2631,2,16,-37.81380667,144.96516719999997
2139,2,17,-37.81380667,144.96516719999997
1438,1,10,-37.813494399999996,144.9651532
2199,1,11,-37.813494399999996,144.9651532
2815,1,12,-37.813494399999996,144.9651532
3149,1,13,-37.813494399999996,144.9651532
3376,1,14,-37.813494399999996,144.9651532
3394,1,15,-37.813494399999996,144.9651532
3252,1,16,-37.813494399999996,144.9651532
2952,1,17,-37.813494399999996,144.9651532
572,15,10,-37.81064378,144.9644713
868,15,11,-37.81064378,144.9644713
1197,15,12,-37.81064378,144.9644713
1486,15,13,-37.81064378,144.9644713
1575,15,14,-37.81064378,144.9644713
1625,15,15,-37.81064378,144.9644713
1626,15,16,-37.81064378,144.9644713
1643,15,17,-37.81064378,144.9644713
146,9,10,-37.81982992,144.9510256
150,9,11,-37.81982992,144.9510256
154,9,12,-37.81982992,144.9510256
155,9,13,-37.81982992,144.9510256
152,9,14,-37.81982992,144.9510256
157,9,15,-37.81982992,144.9510256
159,9,16,-37.81982992,144.9510256
171,9,17,-37.81982992,144.9510256
92,10,10,-37.81876473,144.9471055
89,10,11,-37.81876473,144.9471055
88,10,12,-37.81876473,144.9471055
80,10,13,-37.81876473,144.9471055
78,10,14,-37.81876473,144.9471055
78,10,15,-37.81876473,144.9471055
89,10,16,-37.81876473,144.9471055
101,10,17,-37.81876473,144.9471055
343,12,10,-37.81457987,144.942924
408,12,11,-37.81457987,144.942924
471,12,12,-37.81457987,144.942924
505,12,13,-37.81457987,144.942924
517,12,14,-37.81457987,144.942924
522,12,15,-37.81457987,144.942924
518,12,16,-37.81457987,144.942924
543,12,17,-37.81457987,144.942924
133,11,10,-37.81564989,144.939707
170,11,11,-37.81564989,144.939707
203,11,12,-37.81564989,144.939707
230,11,13,-37.81564989,144.939707
242,11,14,-37.81564989,144.939707
253,11,15,-37.81564989,144.939707
252,11,16,-37.81564989,144.939707
272,11,17,-37.81564989,144.939707
224,8,10,-37.82293543,144.94717509999998
253,8,11,-37.82293543,144.94717509999998
265,8,12,-37.82293543,144.94717509999998
266,8,13,-37.82293543,144.94717509999998
282,8,14,-37.82293543,144.94717509999998
292,8,15,-37.82293543,144.94717509999998
280,8,16,-37.82293543,144.94717509999998
265,8,17,-37.82293543,144.94717509999998
572,101,10,-37.817771,144.957951
577,101,11,-37.817771,144.957951
591,101,12,-37.817771,144.957951
571,101,13,-37.817771,144.957951
596,101,14,-37.817771,144.957951
608,101,15,-37.817771,144.957951
629,101,16,-37.817771,144.957951
604,101,17,-37.817771,144.957951
306,102,10,-37.81447,144.96197
386,102,11,-37.81447,144.96197
456,102,12,-37.81447,144.96197
520,102,13,-37.81447,144.96197
479,102,14,-37.81447,144.96197
463,102,15,-37.81447,144.96197
447,102,16,-37.81447,144.96197
458,102,17,-37.81447,144.96197
547,13,10,-37.812397,144.956526
709,13,11,-37.812397,144.956526
884,13,12,-37.812397,144.956526
994,13,13,-37.812397,144.956526
981,13,14,-37.812397,144.956526
934,13,15,-37.812397,144.956526
890,13,16,-37.812397,144.956526
849,13,17,-37.812397,144.956526
622,103,10,-37.810978999999996,144.958897
809,103,11,-37.810978999999996,144.958897
976,103,12,-37.810978999999996,144.958897
1045,103,13,-37.810978999999996,144.958897
974,103,14,-37.810978999999996,144.958897
842,103,15,-37.810978999999996,144.958897
662,103,16,-37.810978999999996,144.958897
566,103,17,-37.810978999999996,144.958897
190,104,10,-37.8155,144.97005
207,104,11,-37.8155,144.97005
231,104,12,-37.8155,144.97005
224,104,13,-37.8155,144.97005
203,104,14,-37.8155,144.97005
203,104,15,-37.8155,144.97005
192,104,16,-37.8155,144.97005
212,104,17,-37.8155,144.97005
298,105,10,-37.808234000000006,144.968757
420,105,11,-37.808234000000006,144.968757
582,105,12,-37.808234000000006,144.968757
645,105,13,-37.808234000000006,144.968757
