Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Dwelling type,Dwelling number,x coordinate,y coordinate,Location
2017,649,110697,104369,473 Albert Street,East Melbourne,House/Townhouse,1,144.9749604,-37.80986889,"(-37.80986889, 144.9749604)"
2017,562,110836,110836,4 Greenham Place,Kensington,House/Townhouse,1,144.9210486,-37.79152853,"(-37.79152853, 144.9210486)"
2017,517,109450,109450,100-110 Tennyson Street,Kensington,Residential Apartments,7,144.9277559,-37.79904589,"(-37.79904589, 144.9277559)"
2017,2514,615954,615954,51 Market Street,Kensington,House/Townhouse,1,144.9270145,-37.7902795,"(-37.7902795, 144.9270145)"
2017,2389,624203,624203,21 Wilson Mews,North Melbourne,House/Townhouse,1,144.9408051,-37.7934701,"(-37.7934701, 144.9408051)"
2017,555,559224,559224,34 Bateman Road,Kensington,House/Townhouse,1,144.9181148,-37.79520656,"(-37.79520656, 144.9181148)"
2017,918,109217,109217,80 Story Street,Parkville,House/Townhouse,1,144.9545753,-37.79643564,"(-37.79643564, 144.9545753)"
2017,371,105623,105623,135-143 Leveson Street,North Melbourne,House/Townhouse,1,144.9512743,-37.80063582,"(-37.80063582, 144.9512743)"
2017,858,106737,106737,20-24 Mona Place,South Yarra,House/Townhouse,1,144.9859595,-37.83675446,"(-37.83675446, 144.9859595)"
2017,865,102535,102535,37-45 Domain Street,South Yarra,Residential Apartments,15,144.9780261,-37.83642545,"(-37.83642545, 144.9780261)"
2017,2525,614741,614741,121 Eastwood Street,Kensington,House/Townhouse,1,144.9308254,-37.7928003,"(-37.7928003, 144.9308254)"
2017,521,110213,110213,53 Wolseley Parade,Kensington,House/Townhouse,1,144.9284554,-37.79710265,"(-37.79710265, 144.9284554)"
2017,377,623918,623918,1E Hotham Place,North Melbourne,House/Townhouse,1,144.9529367,-37.80061965,"(-37.80061965, 144.9529367)"
2017,2525,614702,614702,85-87 Eastwood Street,Kensington,House/Townhouse,1,144.9306779,-37.79183169,"(-37.79183169, 144.9306779)"
2017,257,105519,105519,148 Leicester Street,Carlton,House/Townhouse,1,144.9608764,-37.80267411,"(-37.80267411, 144.9608764)"
2017,258,558656,558656,117 Leicester Street,Carlton,House/Townhouse,1,144.9602433,-37.80315462,"(-37.80315462, 144.9602433)"
2017,2532,615409,615409,17 Collett Street,Kensington,House/Townhouse,1,144.9338758,-37.78939588,"(-37.78939588, 144.9338758)"
2017,301,106514,106514,116 Melrose Street,North Melbourne,House/Townhouse,1,144.9427498,-37.79127806,"(-37.79127806, 144.9427498)"
2017,913,107334,107334,72 Park Drive,Parkville,House/Townhouse,1,144.9556323,-37.79480852,"(-37.79480852, 144.9556323)"
2017,2538,616121,616121,39 Lambeth Street,Kensington,House/Townhouse,1,144.9345238,-37.79040952,"(-37.79040952, 144.9345238)"
2017,2382,616761,616761,206 Boundary Road,North Melbourne,House/Townhouse,1,144.9403423,-37.78875712,"(-37.78875712, 144.9403423)"
2017,306,105404,105404,3 Kipling Street,North Melbourne,House/Townhouse,1,144.9422813,-37.79539142,"(-37.79539142, 144.9422813)"
2017,2523,614838,614838,112 McConnell Street,Kensington,House/Townhouse,1,144.9287627,-37.79369935,"(-37.79369935, 144.9287627)"
2017,210,101638,101638,396 Cardigan Street,Carlton,House/Townhouse,1,144.9668073,-37.79499389,"(-37.79499389, 144.9668073)"
2017,2544,615420,615420,81 Lambeth Street,Kensington,House/Townhouse,1,144.9341747,-37.79208551,"(-37.79208551, 144.9341747)"
2017,365,101536,101536,202 Capel Street,North Melbourne,House/Townhouse,1,144.9559585,-37.80283854,"(-37.80283854, 144.9559585)"
2017,928,606537,606537,16 Parkville Avenue,Parkville,House/Townhouse,1,144.9415422,-37.78073307,"(-37.78073307, 144.9415422)"
2017,604,104851,104851,1143 Hoddle Street,East Melbourne,House/Townhouse,1,144.990243,-37.81426386,"(-37.81426386, 144.990243)"
2017,353,103855,103855,227 Flemington Road,North Melbourne,House/Townhouse,1,144.9476363,-37.79432481,"(-37.79432481, 144.9476363)"
2017,868,107438,107438,64-76 Pasley Street,South Yarra,House/Townhouse,1,144.9849937,-37.84201641,"(-37.84201641, 144.9849937)"
2017,862,104877,104877,35-37 Hope Street,South Yarra,Residential Apartments,17,144.9789952,-37.83633976,"(-37.83633976, 144.9789952)"
2017,924,106421,106421,42-44 Manningham Street,Parkville,House/Townhouse,1,144.9423773,-37.78743342,"(-37.78743342, 144.9423773)"
2017,301,106509,106509,128 Melrose Street,North Melbourne,House/Townhouse,1,144.9428327,-37.79099917,"(-37.79099917, 144.9428327)"
2017,862,106641,106641,113 Millswyn Street,South Yarra,House/Townhouse,1,144.9802027,-37.83477803,"(-37.83477803, 144.9802027)"
2017,612,100364,100364,134 Albert Street,East Melbourne,House/Townhouse,1,144.9867685,-37.8104052,"(-37.8104052, 144.9867685)"
2017,655,623216,623216,8 Magistrates Walk,East Melbourne,House/Townhouse,1,144.9768015,-37.81682821,"(-37.81682821, 144.9768015)"
