Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,71,105720,105720,594-610 Lonsdale Street,Melbourne (CBD),Private,18,144.954296,-37.81419956,"(-37.81419956, 144.954296)"
2017,216,108193,108193,349-355 Rathdowne Street,Carlton,Residential,38,144.9699147,-37.79818972,"(-37.79818972, 144.9699147)"
2017,560,110166,110166,57-59 Willis Street,Kensington,Residential,1,144.9187119,-37.79351117,"(-37.79351117, 144.9187119)"
2017,214,111213,111207,176 Elgin Street,Carlton,Private,2,144.9685851,-37.79681948,"(-37.79681948, 144.9685851)"
2017,922,107291,107291,143 Park Drive,Parkville,Residential,1,144.9551612,-37.79445941,"(-37.79445941, 144.9551612)"
2017,531,111309,111309,20 Leicester Mews,Kensington,Residential,1,144.921666,-37.796242,"(-37.796242, 144.921666)"
2017,791,110501,110501,224-260 Lorimer Street,Port Melbourne,Private,950,144.904075,-37.82908193,"(-37.82908193, 144.904075)"
2017,314,100509,100509,302-308 Arden Street,North Melbourne,Private,24,144.9377446,-37.79924325,"(-37.79924325, 144.9377446)"
2017,861,108682,108682,20 St Martins Lane,South Yarra,Residential,2,144.9816465,-37.83523862,"(-37.83523862, 144.9816465)"
2017,223,103076,103076,75-77 Elgin Street,Carlton,Private,1,144.9720573,-37.79787896,"(-37.79787896, 144.9720573)"
2017,301,103879,103879,331 Flemington Road,North Melbourne,Residential,2,144.9437965,-37.79145858,"(-37.79145858, 144.9437965)"
2017,228,101449,101449,215 Canning Street,Carlton,Residential,1,144.9733058,-37.79326279,"(-37.79326279, 144.9733058)"
2017,238,107131,107131,49 Owen Street,Carlton,Residential,2,144.972811,-37.80067172,"(-37.80067172, 144.972811)"
2017,657,109594,109594,16 Vale Street South,East Melbourne,Residential,1,144.9891664,-37.81916094,"(-37.81916094, 144.9891664)"
2017,247,102672,102672,205 Drummond Street,Carlton,Residential,1,144.9679141,-37.80138237,"(-37.80138237, 144.9679141)"
