,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
928,2015,6,578320,573333,2 Swanston Street,Melbourne (CBD),Crossbar Cafe,4511,Cafes and Restaurants,Seats - Indoor,50,-37.81784465, 144.9699175
929,2015,35,109268,109268,109-117 Swanston Street,Melbourne (CBD),Thai Viet,4511,Cafes and Restaurants,Seats - Indoor,5,-37.81507697, 144.9657774
930,2015,35,109268,109268,109-117 Swanston Street,Melbourne (CBD),Thai Viet,4511,Cafes and Restaurants,Seats - Outdoor,38,-37.81507697, 144.9657774
931,2015,74,105737,105737,402-408 Lonsdale Street,Melbourne (CBD),Mook Ji Bar,4511,Cafes and Restaurants,Seats - Indoor,68,-37.81244232, 144.9603254
932,2015,84,108093,108093,330-344 Little Lonsdale Street,Melbourne (CBD),Water Flame ,4511,Cafes and Restaurants,Seats - Indoor,64,-37.81181165, 144.9596748
933,2015,55,101194,101194,314-336 Bourke Street,Melbourne (CBD),Emporia,4511,Cafes and Restaurants,Seats - Indoor,65,-37.81344503, 144.9638295
934,2015,55,101194,101194,314-336 Bourke Street,Melbourne (CBD),The Salon By Louis Roderer,4511,Cafes and Restaurants,Seats - Indoor,35,-37.81344503, 144.9638295
935,2015,4,103972,103972,363-397 Flinders Street,Melbourne (CBD),T-Roy Browns,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.81953163, 144.9622868
936,2015,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),Mad Mex Flinders Lane,4511,Cafes and Restaurants,Seats - Outdoor,8,-37.81741878, 144.9643316
937,2015,14,108116,108116,18 Queen Street,Melbourne (CBD),Equal 9 Cafe,4511,Cafes and Restaurants,Seats - Outdoor,4,-37.81829599, 144.9625773
938,2015,24,102092,102092,359-373 Collins Street,Melbourne (CBD),Zero Gravity Cafe Bar,4511,Cafes and Restaurants,Seats - Outdoor,60,-37.81728432, 144.9624418
939,2015,15,103327,103327,28-32 Elizabeth Street,Melbourne (CBD),Om Vegetarian,4511,Cafes and Restaurants,Seats - Indoor,52,-37.81729894, 144.9648816
940,2015,15,103942,103942,253-265 Flinders Lane,Melbourne (CBD),The Journal Canteen/Oskars Kitchen,4511,Cafes and Restaurants,Seats - Outdoor,35,-37.81706291, 144.9659028
941,2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Pilgrim,4511,Cafes and Restaurants,Seats - Indoor,40,-37.81865919, 144.9689349
942,2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Pilgrim,4511,Cafes and Restaurants,Seats - Outdoor,130,-37.81865919, 144.9689349
943,2015,6,578320,573333,2 Swanston Street,Melbourne (CBD),In a Rush Espressor Fed Square,4511,Cafes and Restaurants,Seats - Indoor,60,-37.81784465, 144.9699175
944,2015,34,102133,102133,360-374 Collins Street,Melbourne (CBD),1969,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81615528, 144.9621844
