MeterId,AssetId,Barcode,CreditCard,TapAndGo,MeterType,StreetName,Longitude,Latitude,Location
650B,1647334,MPM1647334,YES,YES,Cale CWT-C Touch,Lonsdale Street,144.97121974382497,-37.80954395386318,"(-37.809543953863, 144.971219743825)"
588A,1647570,MPM1647570,YES,YES,Cale CWT-C Touch,Spencer Street,144.95042720167118,-37.81067536945114,"(-37.810675369451, 144.950427201671)"
219D,1647661,MPM1647661,YES,YES,Reino TTX-S,William Street,144.9544016515901,-37.80768768607314,"(-37.807687686073, 144.95440165159)"
363C,1647106,MPM1647106,YES,YES,Reino TVX,Cardigan Street,144.9649100587383,-37.80294743713413,"(-37.802947437134, 144.964910058738)"
715A,1647351,MPM1647351,YES,YES,Cale CWT-C Touch,St Kilda Road,144.9700486656022,-37.82248904357811,"(-37.822489043578, 144.970048665602)"
345B,1647793,MPM1647793,YES,YES,Reino TTX-S,Flemington Road,144.953395945063,-37.798006296999574,"(-37.798006297, 144.953395945063)"
585A,1647349,MPM1647349,YES,YES,Cale CWT-C Touch,Spencer Street,144.9519369217593,-37.81458035594984,"(-37.81458035595, 144.951936921759)"
685A,1647350,MPM1647350,YES,YES,Cale CWT-C Touch,Therry Street,144.96060169550955,-37.8068534540352,"(-37.806853454035, 144.96060169551)"
706A,1647567,MPM1647567,YES,YES,Cale CWT-C Touch,City Road,144.96497630045363,-37.82234707756991,"(-37.82234707757, 144.964976300454)"
706C,1647569,MPM1647569,YES,YES,Cale CWT-C Touch,City Road,144.96636638921245,-37.82142487982575,"(-37.821424879826, 144.966366389212)"
689B,1647566,MPM1647566,YES,YES,Cale CWT-C Touch,Dudley Street,144.951558266872,-37.80943368603649,"(-37.809433686036, 144.951558266872)"
538A,1647580,MPM1647580,YES,YES,Cale CWT-C Touch,Bond Street,144.96269346575562,-37.818093821659,"(-37.818093821659, 144.962693465756)"
553A,1647581,MPM1647581,YES,YES,Cale CWT-C Touch,Wills Street,144.95748401792295,-37.81106967520269,"(-37.811069675203, 144.957484017923)"
508A,1647337,MPM1647337,YES,YES,Cale CWT-C Touch,Exhibition Street,144.97166822493105,-37.81477634542956,"(-37.81477634543, 144.971668224931)"
508B,1647338,MPM1647338,YES,YES,Cale CWT-C Touch,Exhibition Street,144.97176628413527,-37.81436200620818,"(-37.814362006208, 144.971766284135)"
577A,1647582,MPM1647582,YES,YES,Cale CWT-C Touch,Downie Street,144.95574056388847,-37.82017281582276,"(-37.820172815823, 144.955740563888)"
649A,1647583,MPM1647583,YES,YES,Cale CWT-C Touch,Little Bourke Street,144.95333996903787,-37.815925269622575,"(-37.815925269623, 144.953339969038)"
649B,1647584,MPM1647584,YES,YES,Cale CWT-C Touch,Little Bourke Street,144.95445913491616,-37.81560238857461,"(-37.815602388575, 144.954459134916)"
507A,1647585,MPM1647585,YES,YES,Cale CWT-C Touch,Exhibition Street,144.9723052806188,-37.81552279525056,"(-37.815522795251, 144.972305280619)"
507B,1647586,MPM1647586,YES,YES,Cale CWT-C Touch,Exhibition Street,144.9719665353437,-37.815429384934596,"(-37.815429384935, 144.971966535344)"
ZOOT6,1630445,MPM1630445,YES,YES,Cale CWT-C,Poplar Road,144.9530129925853,-37.78226017724227,"(-37.782260177242, 144.953012992585)"
696A,1647600,MPM1647600,YES,YES,Cale CWT-C Touch,Victoria Street,144.9622822187981,-37.80647205190106,"(-37.806472051901, 144.962282218798)"
HAST4A,1630371,MPM1630371,YES,YES,Reino TTX,Victoria Parade,144.97903522288252,-37.8088240765491,"(-37.808824076549, 144.979035222883)"
102TH,1630372,MPM1630372,YES,YES,Reino TTX,Royal Parade,144.95970954843693,-37.783986345766465,"(-37.783986345766, 144.959709548437)"
103TE,1630373,MPM1630373,YES,YES,Reino TTX,Royal Parade,144.9583686167371,-37.795144859452456,"(-37.795144859452, 144.958368616737)"
102TJ,1630374,MPM1630374,YES,YES,Reino TTX,Royal Parade,144.96005492629473,-37.78130673184953,"(-37.78130673185, 144.960054926295)"
102TM,1630375,MPM1630375,YES,YES,Reino TTX,Royal Parade,144.96032163595117,-37.77913519945398,"(-37.779135199454, 144.960321635951)"
HAST3,1630376,MPM1630376,YES,YES,Reino TTX,Victoria Parade,144.9743826802445,-37.808313461097704,"(-37.808313461098, 144.974382680245)"
HAST5,1630377,MPM1630377,YES,YES,Reino TTX,Victoria Parade,144.97938289175445,-37.808858266943005,"(-37.808858266943, 144.979382891754)"
102TN,1630379,MPM1630379,YES,YES,Reino TTX,Royal Parade,144.96038138486946,-37.77860097814712,"(-37.778600978147, 144.960381384869)"
102TK,1630380,MPM1630380,YES,YES,Reino TTX,Royal Parade,144.96025923381626,-37.77966470661789,"(-37.779664706618, 144.960259233816)"
382TB,1630381,MPM1630381,YES,YES,Reino TTX,Bowen Crescent,144.96291679977895,-37.78157085276997,"(-37.78157085277, 144.962916799779)"
101TA,1630383,MPM1630383,YES,YES,Reino TTX,Princes Park Drive,144.96173133608133,-37.79119165623689,"(-37.791191656237, 144.961731336081)"
MHET1A,1630384,MPM1630384,YES,YES,Reino TTX,Merchant Street,144.9443079444594,-37.82093920794034,"(-37.82093920794, 144.944307944459)"
LDNT5,1630385,MPM1630385,YES,YES,Reino TTX,Little Docklands Drive,144.94045776903073,-37.81257177408608,"(-37.812571774086, 144.940457769031)"
SIWT4,1630095,MPM1630095,YES,YES,Cale CWT-P,Sturt Street,144.96673976648194,-37.82513000327862,"(-37.825130003279, 144.966739766482)"
67TJ,1630387,MPM1630387,YES,YES,Reino TTX,Cemetery Road West,144.96038674781482,-37.79146875867902,"(-37.791468758679, 144.960386747815)"
101TG,1630388,MPM1630388,YES,YES,Reino TTX,Princes Park Drive,144.9629823492618,-37.78674875094142,"(-37.786748750941, 144.962982349262)"
382TE,1630389,MPM1630389,YES,YES,Reino TTX,Bowen Crescent,144.9621234042572,-37.778751555631644,"(-37.778751555632, 144.962123404257)"
67TK,1630390,MPM1630390,YES,YES,Reino TTX,Cemetery Road West,144.9600106932254,-37.79092176362231,"(-37.790921763622, 144.960010693225)"
69TB,1630391,MPM1630391,YES,YES,Reino TTX,Cemetery Road East,144.96624101443686,-37.79334893635965,"(-37.79334893636, 144.966241014437)"
101TB,1630392,MPM1630392,YES,YES,Reino TTX,Princes Park Drive,144.9619061454305,-37.79049380774107,"(-37.790493807741, 144.961906145431)"
25TC,1630393,MPM1630393,YES,YES,Reino TTX,Lygon Street,144.9685493095723,-37.790521510513955,"(-37.790521510514, 144.968549309572)"
25TB,1630394,MPM1630394,YES,YES,Reino TTX,Lygon Street,144.9688823606817,-37.78857636244474,"(-37.788576362445, 144.968882360682)"
25TD,1630395,MPM1630395,YES,YES,Reino TTX,Lygon Street,144.96839969078005,-37.79137781698426,"(-37.791377816984, 144.96839969078)"
102TC,1630396,MPM1630396,YES,YES,Reino TTX,Royal Parade,144.95919591536673,-37.78825286564409,"(-37.788252865644, 144.959195915367)"
73TA,1630398,MPM1630398,YES,YES,Reino TTX,Swanston Street,144.9646183098635,-37.796065190048665,"(-37.796065190049, 144.964618309864)"
73TD,1630399,MPM1630399,YES,YES,Reino TTX,Swanston Street,144.9652108423447,-37.793930443850634,"(-37.793930443851, 144.965210842345)"
HAIT1,1630401,MPM1630401,YES,YES,Reino TTX,Victoria Parade,144.97231717849135,-37.80791521507372,"(-37.807915215074, 144.972317178491)"
102TG,1630404,MPM1630404,YES,YES,Reino TTX,Royal Parade,144.95946370786953,-37.78609408142811,"(-37.786094081428, 144.95946370787)"
102TE,1630405,MPM1630405,YES,YES,Reino TTX,Royal Parade,144.95931961892674,-37.78718227285706,"(-37.787182272857, 144.959319618927)"
101TD,1630406,MPM1630406,YES,YES,Reino TTX,Princes Park Drive,144.96221963378076,-37.78895541361883,"(-37.788955413619, 144.962219633781)"
510A,1647411,MPM1647411,YES,YES,Cale CWT-C Touch,Exhibition Street,144.97090301715727,-37.81248473363936,"(-37.812484733639, 144.970903017157)"
73TC,1630412,MPM1630412,YES,YES,Reino TTX,Swanston Street,144.96484316533693,-37.794645655438444,"(-37.794645655438, 144.964843165337)"
382TC,1630414,MPM1630414,YES,YES,Reino TTX,Bowen Crescent,144.9627153036176,-37.780443199388706,"(-37.780443199389, 144.962715303618)"
73TB,1630416,MPM1630416,YES,YES,Reino TTX,Swanston Street,144.96475065683882,-37.795281199069045,"(-37.795281199069, 144.964750656839)"
359TB,1630418,MPM1630418,YES,YES,Reino TTX,Lytton Street,144.9673991509216,-37.793775677680365,"(-37.79377567768, 144.967399150922)"
25TA,1630421,MPM1630421,YES,YES,Reino TTX,Lygon Street,144.96925494426003,-37.78641379062514,"(-37.786413790625, 144.96925494426)"
143TJ,1631127,MPM1631127,YES,YES,Reino TTX,Park Street,144.96120741335494,-37.77827610189924,"(-37.778276101899, 144.961207413355)"
