Street address,Trading name,Number of seats,Longitude,Latitude,Type
478-484 Victoria Street,Rubiras North Melbourne,40,144.9501455,-37.80496737,Cafe
111-129 Bourke Street,Nashi,33,144.9701092,-37.81281453,Cafe
715-727 Bourke Street,Cavallino Cafe,112,144.9502584,-37.81864992,Cafe
221 Little Lonsdale Street,Cafenatics QV,22,144.9657034,-37.810658,Cafe
483 Swanston Street,Sichuan Dining Room,80,144.9620907,-37.80728963,Cafe
258 Lygon Street,Nadalon Fusion,40,144.9671684,-37.80113981,Cafe
11-25 Crossley Street,Becco,16,144.9710142,-37.81143018,Cafe
220-226 Collins Street,1932 Cafe & Restaurant,20,144.9661258,-37.81528474,Cafe
11 Collins Street,Mamasita,72,144.9734622,-37.81377997,Cafe
538-542 Little Collins Street,Mr Fusion,40,144.956774,-37.81695942,Cafe
84-90 Lorimer Street,Al-Khaleej Restaurant,38,144.9435506,-37.82438863,Cafe
45 Collins Street,Little Flinders,32,144.9726281,-37.81430616,Cafe
219-221 Lygon Street,Papa Gino's Pizza Restaurant,100,144.9667173,-37.80018973,Cafe
164-166 Bourke Street,Melbourne Wok,50,144.968386,-37.81247257,Cafe
8 Whiteman Street,Emporio Pizza & Pasta,150,144.9586604,-37.82312164,Cafe
425-427 Docklands Drive,Goldleaf BBQ Cuisine,16,144.9390269,-37.81517782,Cafe
181 William Street,Laurent Boulangerie Patisserie,50,144.9573923,-37.81531863,Cafe
93-101 Spring Street,Cafe Excello ,28,144.9731836,-37.81260039,Cafe
522-536 Swanston Street,El Pronto,35,144.9636402,-37.80430744,Cafe
45 Collins Street,Little Flinders,60,144.9726281,-37.81430616,Cafe
194-200 Bourke Street,Red Silks Restaurant & Bar,65,144.9672768,-37.8124312,Cafe
63-85 Queens Bridge Street,Golden House Chinese Restaurant,96,144.9612916,-37.82386991,Cafe
185-187 Lonsdale Street,International Diethnes Cakes,20,144.9668486,-37.81118708,Cafe
122 Russell Street,Embla,50,144.9687154,-37.81342961,Cafe
519-539 St Kilda Road,Rice @ Chevron,32,144.9798191,-37.8455379,Cafe
700-704 Bourke Street,In a Rush,41,144.9493733,-37.81733574,Cafe
367-377 Royal Parade,Degani Bakery Cafe,48,144.9585626,-37.7849288,Cafe
317-321 Little Collins Street,Dinkum Pies,28,144.9642254,-37.81528948,Cafe
20-30 Convention Centre Place,Common Man,88,144.9523782,-37.82539976,Cafe
457-469 Macaulay Road,Taco Bill,48,144.9315233,-37.79484451,Cafe
58-70 Lorimer Street,Loading Dock,57,144.946356,-37.82488026,Cafe
364-366 Victoria Street,Babu Bar Burger with Balls,40,144.9541341,-37.80544377,Cafe
238 Lygon Street,Spaghettata Restaurant,130,144.9672365,-37.80162591,Cafe
78A Wellington Parade,Geppetto Trattoria,40,144.9874273,-37.81636296,Cafe
2 Swanston Street,In a Rush  ,60,144.9699175,-37.81784465,Cafe
744-770 Bourke Street,Black Cod,30,144.947217,-37.81817241,Cafe
51-53 A'Beckett Street,Darac Grill & Bar,5,144.9620743,-37.8090975,Cafe
535 Little Lonsdale Street,Gami At Healeys - Chicken & Beer,40,144.9560169,-37.8134766,Cafe
500-514 Collins Street,Henry & The Fox,100,144.9574732,-37.81753383,Cafe
197 Lonsdale Street,Tsindos Greek Restaurant,80,144.9665765,-37.81128456,Cafe
494-512 Bourke Street,The Tuck Shop ,60,144.9587607,-37.81494883,Cafe
11-37 Exhibition Street,The Fair Trader Cafe,100,144.9717262,-37.81546152,Cafe
106-120 Harbour Esplanade,Harbour Cafe,20,144.947217,-37.81817241,Cafe
1 Phillip Court,Ootoro,24,144.920988,-37.82600955,Cafe
16-26 Orr Street,Orr Street Cafe,18,144.9654007,-37.8063402,Cafe
829-843 Bourke Street,Merchant Society,25,144.9434599,-37.82044558,Cafe
505-515 Little Collins Street,In A Rush,38,144.9577989,-37.81719649,Cafe
4 Riverside Quay,Hopscotch,60,144.9633758,-37.82092509,Cafe
309-325 Bourke Street,Grasshoppers Feast,40,144.9645323,-37.81445406,Cafe
264-266 Russell Street,Dumplings on Russell,90,144.9671989,-37.81020096,Cafe
23-37 Star Crescent,LeCirque,25,144.9378299,-37.81315031,Cafe
140 Southbank Boulevard,Script Bar & Bistro,126,144.9677949,-37.82420378,Cafe
364-378 Docklands Drive,Johnie's Lounge,40,144.9419092,-37.81284814,Cafe
64-66 Hardware Lane,Grill Steak Seafood,19,144.9611673,-37.81318202,Cafe
25-35 Little Collins Street,The Crux & Co Patisseries,40,144.9727065,-37.81290511,Cafe
143-175 Harbour Esplanade,Va Bene Pizzeria,30,144.9435654,-37.8165193,Cafe
109 Elgin Street,Abla's Restaurant,75,144.9710582,-37.79776853,Cafe
221 Little Lonsdale Street,Movenpick Icecream,44,144.9657034,-37.810658,Cafe
212 Swanston Street,Fat Oma,38,144.9656117,-37.81278915,Cafe
139-141 Lygon Street,Universal Pizza,100,144.9660865,-37.80384773,Cafe
2 Swanston Street,Cafe Chinotto,40,144.9699175,-37.81784465,Cafe
550 Bourke Street,Chilangos,16,144.9573923,-37.81531863,Cafe
194-196 Flinders Street,Careers Cafe,40,144.9681433,-37.81673488,Cafe
478-484 Albert Street,Albert St Deli,53,144.9746801,-37.80907045,Cafe
178-190 Little Bourke Street,City BBQ Chinese Restaurant,60,144.966942,-37.81186912,Cafe
53-75 Pelham Street,Michelino's Trattoria,70,144.9671858,-37.80324285,Cafe
205-207 Lygon Street,Ma's Dumpling Den,16,144.9665902,-37.80049164,Cafe
731-735 Bourke Street,Degani Bakery Cafe,70,144.9498213,-37.81921015,Cafe
116-122 Hardware Street,The Hardware Societe,47,144.9607032,-37.81194755,Cafe
507-541 Flinders Street,Northbanc Cafe,50,144.9572299,-37.82088351,Cafe
183-265 La Trobe Street,Sushi Sushi,36,144.9630189,-37.81073331,Cafe
14 Lansdowne Street,Zio's Ristorante,75,144.9786966,-37.80938005,Cafe
612-624 Collins Street,Purple Peanuts Japanese Cafe,14,144.9543505,-37.81867544,Cafe
46-74 Flinders Street,The Press Club ,45,144.9727209,-37.81546181,Cafe
45-49 Bourke Street,Sempre Pizza & Calzone,60,144.9719053,-37.8119837,Cafe
108 Lygon Street,Carlton Curry House,12,144.9666993,-37.80443778,Cafe
550 Lonsdale Street,Suda,43,144.9560169,-37.8134766,Cafe
338-352 Bourke Street,Ca De Vin,140,144.9632879,-37.81360425,Cafe
218-224 Drummond Street,La Cacciatora Restaurant,26,144.9685975,-37.80116198,Cafe
210 Queensberry Street,The Queensberry Pour House,26,144.9620274,-37.80421363,Cafe
2 Swanston Street,Arintji,100,144.9699175,-37.81784465,Cafe
555 Bourke Street,Spin Coffee,40,144.9578132,-37.81636534,Cafe
1-7 Lygon Street,No1 Steam Boat,50,144.9656386,-37.80673947,Cafe
368-378 Elizabeth Street,Oriental Spoon,180,144.961747,-37.80994879,Cafe
189-191 Little Bourke Street,Westlake Restaurant,200,144.9669548,-37.812194,Cafe
494-512 Bourke Street,Cafenatics ,39,144.9587607,-37.81494883,Cafe
107-109 Flinders Lane,Bullrun,4,144.9708344,-37.81560645,Cafe
 Peel Street,Gozleme Cafe,20,144.9572395,-37.80745984,Cafe
175 Lygon Street,Chocolateria San Churro,60,144.9664856,-37.80156205,Cafe
23-37 Star Crescent,San Churro,34,144.9378299,-37.81315031,Cafe
269-283 City Road,A Treat of France,25,144.9590507,-37.82730522,Cafe
223 Victoria Street,Dolcetti,6,144.9540448,-37.80590009,Cafe
11-19 Liverpool Street,Hochi Mama Kitchen,50,144.9713242,-37.81131159,Cafe
226-236 Russell Street,Izakaya Chuji Japanese Restaurant,90,144.9676444,-37.81098272,Cafe
184-186 Bourke Street,Udon Yasan,48,144.9676888,-37.81267583,Cafe
555 Bourke Street,Brioche by Philip,29,144.9578132,-37.81636534,Cafe
207-209 Swanston Street,Sam Sam,21,144.9650387,-37.81289706,Cafe
310 Flinders Lane,Hako,65,144.9636828,-37.81726468,Cafe
515 Little Bourke Street,Bourke and Willis,40,144.9573923,-37.81531863,Cafe
170-176 William Street,Cafe Lavita On William ,25,144.9582309,-37.81492637,Cafe
163-169 Russell Street,Noodle Wizard,60,144.9676479,-37.81246709,Cafe
791-847 Collins Street,The Groove Train ,150,144.9457644,-37.82205739,Cafe
116-118 Errol Street,5 Lire,30,144.9500956,-37.802235,Cafe
401-403 Collins Street,Morgans at 401,30,144.9612229,-37.81739636,Cafe
90-98 Collins Street,Entrecote City,8,144.9702813,-37.8139675,Cafe
392-406 Bourke Street,Ohsso,15,144.9617562,-37.81416355,Cafe
32-54 Lonsdale Street,Bluebag,6,144.9707325,-37.8091842,Cafe
74 Wellington Parade,Memoria Cafe,30,144.98763,-37.81638646,Cafe
206-218 Bourke Street,Satu Produk Durian,50,144.9668768,-37.81259409,Cafe
183-265 La Trobe Street,Don Don Japanese Restaurant,95,144.9630189,-37.81073331,Cafe
368-386 Lygon Street,Brunetti Carlton,300,144.9681789,-37.79803089,Cafe
97-103 Elizabeth Street,This Side of Paradise,72,144.9634979,-37.81592157,Cafe
427-431 St Kilda Road,Slater St Bench,6,144.9771931,-37.83854242,Cafe
185-199 Queen Street,Queen Street Rescue,60,144.9599687,-37.81428585,Cafe
2-48 Harbour Esplanade,Cafe La Kiss,24,144.9484725,-37.82183078,Cafe
130-148 William Street,Cocoa Bean Cafe,80,144.9589392,-37.81595642,Cafe
469 Elizabeth Street,Sarawak Kitchen,27,144.9599695,-37.807983,Cafe
174-178 Lygon Street,Lemongrass,64,144.96678,-37.80305855,Cafe
120 Lygon Street,Lygon Charcoal Grill & Steakhouse,100,144.9666993,-37.80443778,Cafe
430-442 Collins Street,The Mug House,40,144.9597623,-37.81703239,Cafe
152-158 Bourke Street,Palsaik,120,144.9685359,-37.81206119,Cafe
52-62 Cade Way,Corner Cafe & Convenience Store,35,144.9391831,-37.77625457,Cafe
107-111 Lonsdale Street,Pomodoro Sardo,16,144.9691194,-37.81053336,Cafe
28 Freshwater Place,Boccata,60,144.9622689,-37.82266873,Cafe
101 Waterfront Way,Buddy Bakery Cafe,13,144.9375906,-37.81187395,Cafe
228-236 Flinders Street,Sushi Ten,52,144.9665517,-37.81724878,Cafe
18-22 Collins Street,Paris End Cafe,18,144.9728919,-37.81330535,Cafe
84-90 Lorimer Street,Mad Duck Cafe,27,144.9435506,-37.82438863,Cafe
202-204 Bourke Street,Flavour Town Hot Pot,96,144.967177,-37.81265943,Cafe
163-261 Spencer Street,Theobroma Chocolate Lounge ,40,144.951187,-37.81501701,Cafe
276-282 King Street,Lee's Chinese Gourmet,30,144.9548222,-37.81349786,Cafe
384-390 Little Collins Street,In a Rush Espresso,18,144.9617411,-37.81560573,Cafe
8 Whiteman Street,Kitchen Workshop,260,144.9586604,-37.82312164,Cafe
393-397 Little Bourke Street,Larder Section,12,144.9612043,-37.8138513,Cafe
407-409 Swanston Street,Druids Cafe,28,144.9631797,-37.80895593,Cafe
566-574 Queensberry Street,French Quarter Patisserie,14,144.9484758,-37.80271264,Cafe
45 Collins Street,Thr1ve,20,144.9726281,-37.81430616,Cafe
174-192 Exhibition Street,Locanda Italian Steakhouse,90,144.9706454,-37.81121462,Cafe
37 Errol Street,Char Siu House,38,144.9490851,-37.80412429,Cafe
271 Swanston Street,OPPA (Korean Kitchen),55,144.964551,-37.81190136,Cafe
706-738 Bourke Street,Tukk & Co,15,144.9490176,-37.81792089,Cafe
20-30 Convention Centre Place,Bohemian Bar & Restaurant,40,144.9523782,-37.82539976,Cafe
2-12 Parliament Place,The Commune ,47,144.9757456,-37.81162322,Cafe
46-74 Flinders Street,No 8 Exhibition Cafe,80,144.9727209,-37.81546181,Cafe
183-265 La Trobe Street,Naughty Nuri's Warung and Grill ,120,144.9630189,-37.81073331,Cafe
207-361 Flinders Street,Arbory Bar and Eatery,367,144.9654659,-37.81866105,Cafe
304-328 Swanston Street,Mr Tulk Cafe,80,144.965306,-37.80976881,Cafe
8 Whiteman Street,Man Tong Kitchen,180,144.9586604,-37.82312164,Cafe
148-150 Errol Street,Mork Chocolate,18,144.9501892,-37.80154511,Cafe
253-265 Flinders Lane,The Journal Canteen/Oskars Kitchen,60,144.9659028,-37.81706291,Cafe
507-523 Elizabeth Street,Simply Spanish,36,144.9572395,-37.80745984,Cafe
2-16 Newquay Promenade,Newquay International Buffet,130,144.9436836,-37.81389091,Cafe
156-160 Elgin Street,Nora,26,144.9693917,-37.79713752,Cafe
2-16 Newquay Promenade,Newquay International Buffet,68,144.9436836,-37.81389091,Cafe
407A St Kilda Road,McDonald's,9,144.976192,-37.83615254,Cafe
14 Bourke Street,Red Pepper Indian Restaurant,33,144.9724607,-37.81126209,Cafe
382-384 Elizabeth Street,Gloria Jeans,40,144.9614515,-37.80977165,Cafe
235-241 Russell Street,Stalactites Restaurant,144,144.967037,-37.81111923,Cafe
422-428 Collins Street,N Lee Bakery,30,144.9599965,-37.81679183,Cafe
209-227 Spring Street,Supergrind Cafe,40,144.9718354,-37.80990475,Cafe
516-526 Bourke Street,Bluestones 520 Cafe,70,144.9583865,-37.81527349,Cafe
228-236 Flinders Street,Alice Nevins,8,144.9665517,-37.81724878,Cafe
345 Victoria Street,Cafe Metsa,32,144.9499616,-37.80546579,Cafe
114-128 William Street,Tempo Bar & Cafe,60,144.9589224,-37.81630648,Cafe
744-770 Bourke Street,Kollabo,16,144.947217,-37.81817241,Cafe
138-150 Rathdowne Street,Ziyka,50,144.9710405,-37.7960463,Cafe
25-45 Collins Street,Pei Modern,40,144.9726281,-37.81430616,Cafe
269-321 Lonsdale Street,Chokolait,65,144.9638386,-37.81245199,Cafe
230 Grattan Street,Tsubu Bar,80,144.9612468,-37.79739836,Cafe
737-743 Bourke Street,11 Inch Pizza CBD,30,144.9489519,-37.81914692,Cafe
196-208 Russell Street,Crystal Jade Restaurant,200,144.9678632,-37.81158809,Cafe
159 Pelham Street,Briscola Espresso,16,144.9612607,-37.80241321,Cafe
507-523 Elizabeth Street,Cafe Victoria,24,144.9572395,-37.80745984,Cafe
559-587 Collins Street,Black Rice,30,144.9557275,-37.81902044,Cafe
457-469 Little Collins Street,Terrace Deli,120,144.95955,-37.81660734,Cafe
18-38 Siddeley Street,Byblos Bar & Restaurant,220,144.9536422,-37.82253633,Cafe
550 Little Lonsdale Street,Angliss Restaurant ,150,144.9528962,-37.81327283,Cafe
715-727 Bourke Street,Grain 717,42,144.9502584,-37.81864992,Cafe
121-127 Little Collins Street,Harry's At Stamford ,200,144.9697676,-37.8136886,Cafe
428-432 Little Bourke Street,DANSK Restaurant,45,144.9597229,-37.81392392,Cafe
24-28 Collins Street,McDonald's,60,144.9727083,-37.81342593,Cafe
133-135 Flinders Lane,Meatball & Wine Bar,53,144.9701585,-37.81573536,Cafe
818-838 Collins Street,O-Bento,26,144.9450469,-37.82100111,Cafe
818-838 Collins Street,Saman Estate Coffee,22,144.9450469,-37.82100111,Cafe
285-313 Spencer Street,Code 3,30,144.9509981,-37.81379938,Cafe
243-249 Swanston Street,Rice Paper Vietnamese Restaurant,74,144.9647365,-37.81230108,Cafe
541-557 Lonsdale Street,Bergerac,60,144.9562135,-37.81439357,Cafe
324-326 King Street,Cafe Sonex ,4,144.9542745,-37.81261513,Cafe
171 Bourke Street,Fomo Thai,100,144.9684972,-37.81296416,Cafe
368 Victoria Street,Prudence Bar,70,144.9540548,-37.80543619,Cafe
449-451 Elizabeth Street,Malaysian Laksa House,54,144.9602158,-37.80856366,Cafe
163-261 Spencer Street,Theobroma Chocolate Lounge ,46,144.951187,-37.81501701,Cafe
346-376 Queen Street,Stassi Cafe,48,144.9592377,-37.81024912,Cafe
239-293 Wellington Parade South,Mugs Alley,16,144.9759275,-37.81642072,Cafe
380-384 Little Bourke Street,French Saloon,14,144.9613283,-37.81354346,Cafe
115-117 Little Bourke Street,Gyoza Gyoza & Momo Shabu Shabu,150,144.9690101,-37.81158808,Cafe
258 Lygon Street,Nadalon Fusion,40,144.9671684,-37.80113981,Cafe
174-176 Queen Street,Nirankar Restaurant ,110,144.9607699,-37.81429326,Cafe
226-236 Russell Street,Nihonshu Shochu & Sake Bar,25,144.9676444,-37.81098272,Cafe
313-315 Swanston Street,D House Cafe,70,144.964105,-37.81088539,Cafe
189 Lygon Street,Buenos Aires Steakhouse,20,144.966488,-37.8011904,Cafe
163 Grattan Street,Animal Orchestra,48,144.9634206,-37.80059737,Cafe
341 King Street,Impresso Cafe,16,144.9535989,-37.81229604,Cafe
768-804 Swanston Street,The Longing Flavour,8,144.965164,-37.79780844,Cafe
163-261 Spencer Street,Starbucks ,53,144.951187,-37.81501701,Cafe
299-319 Queen Street,Melbourne Mahn Doo,80,144.9586601,-37.81145082,Cafe
48-50 Flemington Road,Parkville Cafe,112,144.9501914,-37.79382016,Cafe
555 La Trobe Street,Angliss Bistro,60,144.9528962,-37.81327283,Cafe
292 Lygon Street,Minzaman Lebanese Restaurant,20,144.9673338,-37.80013942,Cafe
506-516 Elizabeth Street,Wing Loong Chinese Restaurant,18,144.9601828,-37.80671508,Cafe
16-32 Rakaia Way,Bhoj On Docklands ,110,144.9412614,-37.81460533,Cafe
45 Collins Street,Great Space Cafe,65,144.9726281,-37.81430616,Cafe
128-130 Lygon Street,Da Guido,60,144.9666832,-37.80403393,Cafe
221 Little Lonsdale Street,Gloria Jeans,40,144.9657034,-37.810658,Cafe
1-27 South Wharf Promenade,The Boatbuilders Yard,336,144.9534995,-37.82437522,Cafe
219-233 Elizabeth Street,Little Ramen Bar,36,144.9622831,-37.81321386,Cafe
9-11 Swanston Street,McDonalds,180,144.9669316,-37.81723918,Cafe
519-539 St Kilda Road,Rice @ Chevron,12,144.9798191,-37.8455379,Cafe
 Alexandra Avenue,The Terrace,200,144.9803723,-37.83016988,Cafe
29-65 South Wharf Promenade,BangPop,196,144.9503336,-37.82409303,Cafe
120 Brunton Avenue,Spotless Services,3240,144.9832828,-37.81992883,Cafe
338-352 Bourke Street,Gekkazan,70,144.9632879,-37.81360425,Cafe
152-154 Lygon Street,Mawal,20,144.9667447,-37.80359309,Cafe
81 Errol Street,Snax Deli,18,144.9492871,-37.80323404,Cafe
391-393 Little Lonsdale Street,Gypsy & Pig,20,144.9603411,-37.81187439,Cafe
8-10 King Street,King Curry,70,144.9576378,-37.81992762,Cafe
207-227 City Road,Boyd Cafe,28,144.9612867,-37.82576299,Cafe
427-431 St Kilda Road,Japan Inn Gourmet Sushi,8,144.9771931,-37.83854242,Cafe
 Peel Street,Pizza @ QV,12,144.9572395,-37.80745984,Cafe
1-9 Freshwater Place,Guava Bean,35,144.962154,-37.82167834,Cafe
723-741 Swanston Street,Cafe Fillings,34,144.9634142,-37.80087264,Cafe
26-28 Market Lane,Hofbrauhaus Restaurant ,60,144.9693353,-37.81160745,Cafe
359-373 Collins Street,Klatch,26,144.9624418,-37.81728432,Cafe
221-231 Collins Street,Three Drops Espresso,25,144.9663304,-37.81584476,Cafe
320-386 Epsom Road,Zigzag Salads & Burgers,16,144.9155212,-37.78257294,Cafe
175-183 Queen Street,Oree,50,144.9599857,-37.81452036,Cafe
256 Lygon Street,Il Gusto,75,144.9671605,-37.80118693,Cafe
243-249 Swanston Street,Rice Paper Vietnamese Restaurant,24,144.9647365,-37.81230108,Cafe
221 Little Lonsdale Street,Grill'd (QV),27,144.9657034,-37.810658,Cafe
281-287 Swanston Street,Bornga,70,144.9643593,-37.81143223,Cafe
328-330 King Street,Russells Old Corner Shop Luncheon Room,20,144.9542466,-37.8125542,Cafe
130-200 St Kilda Road,Garden Restaurant,160,144.9686338,-37.82281707,Cafe
502-506 Victoria Street,Faces & Places,14,144.9495517,-37.80497299,Cafe
3 Central Boulevard,Portside Deli,8,144.9187862,-37.82221049,Cafe
121 Exhibition Street,Dumpling King,24,144.9701092,-37.81281453,Cafe
391-393 Little Lonsdale Street,CJ Lunchbar ,36,144.9603411,-37.81187439,Cafe
355-357 Exhibition Street,Thailicious,12,144.9681732,-37.80752222,Cafe
123-125 Lygon Street,Mercadante Pizza,45,144.9660342,-37.80408996,Cafe
28 Corrs Lane,Yamato Japanese Restaurant,28,144.9681529,-37.81081665,Cafe
200-222 Queen Street,In A Rush,26,144.9604697,-37.81352285,Cafe
318-322 Little Collins Street,Chokolait,30,144.9640121,-37.81488174,Cafe
68-78 Hardware Lane,Grill Steak Seafood,32,144.9611061,-37.8130703,Cafe
183-265 La Trobe Street,Nando's Melbourne Central,122,144.9630189,-37.81073331,Cafe
612-624 Collins Street,Chick-In,32,144.9543505,-37.81867544,Cafe
430-442 Collins Street,Sunny Boy Cafe,16,144.9597623,-37.81703239,Cafe
8 Collins Street,Market Lane Coffee,10,144.9732575,-37.81314231,Cafe
2-14 Exploration Lane,Laksa Bar,60,144.9684463,-37.80913993,Cafe
644-658 Swanston Street,Black Ball,25,144.9642823,-37.80131908,Cafe
184-192 Queen Street,Kenny's Bakery Cafe,6,144.9606804,-37.81402844,Cafe
126-158 Clarendon Street,GG Restaurant & Bar,250,144.9841619,-37.81229599,Cafe
205-207 Russell Street,Sweetie And Moustache Dessert Lounge,80,144.9672984,-37.81169847,Cafe
376-390 Collins Street,The Groove Train,140,144.9617186,-37.81629382,Cafe
432-446 Docklands Drive,Degani Bakery Cafe,36,144.9378299,-37.81315031,Cafe
788-812 Bourke Street,Tataki Noodles & Dumplings,64,144.9451224,-37.81888389,Cafe
169 Lygon Street,Stuzzichino,48,144.9664569,-37.80171819,Cafe
29-55 College Crescent,Sage & Grace Cafe,6,144.9605953,-37.79301958,Cafe
520 Macaulay Road,Frying Colours,38,144.9287638,-37.79405714,Cafe
106-120 Collins Street,Elements Catering (Kiosk),50,144.9693797,-37.81398457,Cafe
200 Batman Avenue,Delaware North Companies Australia Pty Ltd,50,144.9803771,-37.82181585,Cafe
121 Lygon Street,Grilla House,36,144.9660241,-37.80415049,Cafe
221 Little Lonsdale Street,Squisito Bar,46,144.9657034,-37.810658,Cafe
20-26 Coromandel Place,Oli Levi,2,144.9692543,-37.81302823,Cafe
20-22 Kavanagh Street,Ten Years,14,144.9658273,-37.82280752,Cafe
217-219 King Street,Sud,45,144.9548584,-37.81514931,Cafe
106-114 Berkeley Street,Seven Seeds ,10,144.9591271,-37.8028778,Cafe
8 Whiteman Street,Tia To Vietnamese Restaurant,75,144.9586604,-37.82312164,Cafe
29-65 South Wharf Promenade,Akachochin,63,144.9503336,-37.82409303,Cafe
161-169 Elgin Street,Cafe Lua,24,144.969295,-37.79757961,Cafe
157 Pelham Street,Briscola,16,144.9613352,-37.80242146,Cafe
459 Collins Street,Club Sandwich on Collins,64,144.9589237,-37.81817724,Cafe
20-30 Convention Centre Place,Signature Pho Viet,44,144.9523782,-37.82539976,Cafe
13-15 Errol Street,Toast Kitchen Cafe,24,144.9490423,-37.80463699,Cafe
816-828 Bourke Street,Squires Loft Dockland,102,144.943969,-37.81927362,Cafe
3 Southgate Avenue,The Deck,20,144.9662623,-37.82066923,Cafe
7-19 Alfred Place,Fratelli Fresh,100,144.9699104,-37.81401267,Cafe
27-29 Swanston Street,KFC,77,144.9667724,-37.81688806,Cafe
258-274 Collins Street,Burger Project St. Collins Lane,80,144.9648999,-37.81536587,Cafe
8 Whiteman Street,The Merrywell,64,144.9586604,-37.82312164,Cafe
744-770 Bourke Street,Origami Sushi & Noodles ,4,144.947217,-37.81817241,Cafe
47-55 Little Bourke Street,Bamboo House,120,144.9711092,-37.81101377,Cafe
747-757 Bourke Street,Booji Cafe,18,144.9479753,-37.81925128,Cafe
517-537 Flinders Lane,Grain Store,24,144.9566017,-37.81988484,Cafe
122-148 Harbour Esplanade,Arena View Restaurant And Cafe,2640,144.9475776,-37.81656591,Cafe
163-261 Spencer Street,Pie Face,40,144.951187,-37.81501701,Cafe
320-386 Epsom Road,Saj Mediterranean Grill,40,144.9155212,-37.78257294,Cafe
19 McKillop Street,Guhng ,132,144.961621,-37.81534187,Cafe
269-283 City Road,A Treat of France,12,144.9590507,-37.82730522,Cafe
235-241 Russell Street,Stalactites Restaurant,24,144.967037,-37.81111923,Cafe
3 Southgate Avenue,Bluetrain,80,144.9662623,-37.82066923,Cafe
3-5 Star Circus,The Groove Train,60,144.9378299,-37.81315031,Cafe
744-770 Bourke Street,Espresso Alto ,6,144.947217,-37.81817241,Cafe
43 Little Bourke Street,Punch Lane Wine Bar/Restaurant,45,144.971363,-37.81092017,Cafe
352-362 Lonsdale Street,Moo Moo Pho,88,144.9617626,-37.81212877,Cafe
832-834 Swanston Street,Bento King,30,144.9648999,-37.79668021,Cafe
49-89 Turner Street,Cafe Port IT ,28,144.9253775,-37.82304058,Cafe
131-141 Harbour Esplanade,Hortus x Seven Seeds,20,144.9452948,-37.81711584,Cafe
2-24 Waterview Walk,Supermax Eatery,50,144.9479753,-37.81925128,Cafe
384-390 Little Collins Street,In a Rush Espresso,60,144.9617411,-37.81560573,Cafe
3 Southgate Avenue,Miyako Japanese Cuisine & Teppanyaki,90,144.9662623,-37.82066923,Cafe
201-207 Elizabeth Street,Schnitz,16,144.9626049,-37.81366344,Cafe
133-159 Victoria Street,Josies Food Bar,48,144.9572395,-37.80745984,Cafe
20-30 Convention Centre Place,Gasolina,24,144.9523782,-37.82539976,Cafe
248-254 City Road,Cafe Bella,48,144.959683,-37.82566196,Cafe
221 Little Lonsdale Street,Shophouse Kitcken,75,144.9657034,-37.810658,Cafe
392-406 Bourke Street,McDonald's Bourke St West,120,144.9617562,-37.81416355,Cafe
1-9 Southbank Boulevard,Left Bank Melbourne,100,144.9628914,-37.8210403,Cafe
189-195 Exhibition Street,Golden Delicious,130,144.9699123,-37.81128986,Cafe
27-29 Crossley Street,Gingerboy,100,144.9709314,-37.81125144,Cafe
40-66 Siddeley Street,Pud Thai Vs Pho,32,144.9525486,-37.82290352,Cafe
267-275 Flinders Lane,Degraves Espresso,35,144.9654844,-37.81710105,Cafe
494-512 Bourke Street,Rosa's Canteen,60,144.9587607,-37.81494883,Cafe
132-136 Lygon Street,La Spaghetteria Ristorante,180,144.966693,-37.80395783,Cafe
294-296 Lygon Street,Cafe Trevi,36,144.9673485,-37.80004498,Cafe
220 Spencer Street,Higher Ground,25,144.9535531,-37.8153588,Cafe
469 Elizabeth Street,Sarawak Kitchen,60,144.9599695,-37.807983,Cafe
3 Southgate Avenue,Code Black,65,144.9662623,-37.82066923,Cafe
339 King Street,Komegashi,25,144.9536295,-37.81236188,Cafe
1-9 Powlett Street,Laurent - Boulangerie Patisserie,51,144.9848341,-37.81608793,Cafe
246-260 Bourke Street,Mister Close,64,144.9658365,-37.81296443,Cafe
18-40 Queensberry Street,Coffee on Drummond,24,144.9682868,-37.80482036,Cafe
169-173 Rankins Road,Luncheonette Cafe ,8,144.9311131,-37.79436218,Cafe
490 Flinders Street,Kasskass,40,144.9579912,-37.81995155,Cafe
56 Rosslyn Street,Rosslyn Pizzeria,8,144.9524041,-37.80751845,Cafe
325-331 Flinders Lane,Toby's Estate Coffee,30,144.963491,-37.81775826,Cafe
566-574 Queensberry Street,French Quarter Patisserie,24,144.9484758,-37.80271264,Cafe
199-209 Collins Street,Caboose Canteen,44,144.9674304,-37.81584777,Cafe
1 Phillip Court,Ootoro,23,144.920988,-37.82600955,Cafe
265-267 Swanston Street,Nelayan,62,144.9646021,-37.81201046,Cafe
93-101 Spring Street,Mamma's Boy,10,144.9731836,-37.81260039,Cafe
3 Southgate Avenue,Hophaus,120,144.9662623,-37.82066923,Cafe
415-421 St Kilda Road,Tokyo Sushi Kitchen,10,144.9770428,-37.83774553,Cafe
100 Dorcas Street,Arkibar Cucina,86,144.9662961,-37.83070462,Cafe
788-812 Bourke Street,Black Cod,80,144.9451224,-37.81888389,Cafe
399-413 Lonsdale Street,Claypots Barbarossa,12,144.9606809,-37.81303978,Cafe
48-50 Flemington Road,Sandrock,42,144.9501914,-37.79382016,Cafe
