Barcode,Longitude,Latitude
MPM1620108,144.95816559668248,-37.806551131718116
MPM1620114,144.97775817628144,-37.814040204817054
MPM1620116,144.97477755679063,-37.81581460042353
MPM1620118,144.94088864049567,-37.820801786604044
MPM1620119,144.97599423728198,-37.81614288537858
MPM1620121,144.94074268842792,-37.813251708706225
MPM1620122,144.93613836785445,-37.81552876822811
MPM1620123,144.93800382299705,-37.81554833946743
MPM1620124,144.9829133868389,-37.81023388672974
MPM1620125,144.978182324723,-37.81154243858934
MPM1620126,144.93607494096062,-37.81531894504972
MPM1620130,144.94230585600064,-37.82037554465553
MPM1620131,144.97637563700394,-37.810709670401145
MPM1620132,144.97900863272474,-37.80980148829879
MPM1620133,144.9776307060793,-37.810844709011015
MPM1620134,144.95803019553503,-37.807315540503595
